email_id,customer_message,your_label,confidence,issue_flag
1,My order has not arrived yet it has been 10 days please help,,,
2,I received a damaged product please replace it immediately,,,
3,Can you tell me the estimated delivery date for my order,,,
4,I love your service everything was perfect thank you,,,
5,Wrong item was delivered I need a refund urgently,,,
6,How do I track my order number 12345,,,
7,The product quality is very good I am happy with my purchase,,,
8,My payment was deducted but order was not placed please check,,,
9,Can I change my delivery address for pending order,,,
10,I want to cancel my order immediately and get refund,,,
11,Product stopped working after 2 days please send replacement,,,
12,What is your return policy for electronics,,,
13,Excellent packaging and fast delivery very satisfied,,,
14,I was charged twice for same order please refund extra amount,,,
15,Is this product available in blue color,,,
16,Delivery person was very rude and unprofessional,,,
17,Thank you for resolving my issue so quickly,,,
18,My account has been hacked please help me immediately,,,
19,How long does standard delivery take to Chennai,,,
20,Product is exactly as described very happy with purchase,,,
21,I have been waiting for refund for 15 days no response,,,
22,Can I get invoice for my recent purchase,,,
23,Amazing customer service will definitely shop again,,,
24,Received expired product this is completely unacceptable,,,
25,What are the warranty terms for this product,,,
26,Package was left outside in rain and got damaged,,,
27,Your app is very easy to use great experience,,,
28,I need to change my mobile number linked to account,,,
29,Order shows delivered but I never received it,,,
30,How do I apply coupon code during checkout,,,
31,Product has missing parts please send complete set,,,
32,Can I return product after 30 days of purchase,,,
33,Best online shopping experience ever thank you,,,
34,My refund was processed but amount is wrong,,,
35,Do you deliver to rural areas in Tamil Nadu,,,
36,Product description was misleading I want full refund,,,
37,I am very impressed with your service keep it up,,,
38,My order has been stuck in transit for 7 days,,,
39,Can I schedule a specific delivery time slot,,,
40,Worst experience ever will never shop here again,,,
41,Product works perfectly happy with my purchase,,,
42,I need urgent help my order contains wrong medicine,,,
43,How do I redeem my reward points,,,
44,Packaging was excellent product arrived safely,,,
45,I was given fake product please take action immediately,,,
46,What payment methods do you accept,,,
47,Your delivery team is very professional and polite,,,
48,I need to update my credit card details,,,
49,Product broke on first use very disappointed,,,
50,Can I get a bulk discount for ordering 10 items,,,
